X,Y,ELEVATION
361403.34,2421208.911,57.82
361403.34,2421203.911,57.971
361403.34,2421198.911,58.443
361403.34,2421193.911,59.158
361403.34,2421188.911,57.683
361403.34,2421183.911,56.283
361403.34,2421178.911,56.416
361403.34,2421173.911,57.173
361403.34,2421168.911,59.212
361403.34,2421163.911,64.905
361403.34,2421158.911,68.526
361403.34,2421153.911,70.176
361403.34,2421148.911,71.984
361403.34,2421143.911,73.511
361403.34,2421138.911,74.717
361403.34,2421133.911,75.973
361403.34,2421128.911,76.92
361403.34,2421123.911,78.306
361403.34,2421118.911,79.645
361403.34,2421113.911,80.978
361403.34,2421108.911,82.323
361403.34,2421103.911,83.187
361403.34,2421098.911,83.144
361403.34,2421093.911,83.395
361403.34,2421088.911,84.206
361403.34,2421083.911,85.388
361403.34,2421078.911,86.363
361403.34,2421073.911,86.033
361403.34,2421068.911,86.856
361403.34,2421063.911,87.798
361403.34,2421058.911,88.107
361403.34,2421053.911,88.952
361403.34,2421048.911,89.407
361403.34,2421043.911,90.286
361403.34,2421038.911,89.655
361403.34,2421033.911,88.159
361403.34,2421028.911,85.872
361403.34,2421023.911,83.663
361403.34,2421018.911,81.612
361403.34,2421013.911,79.109
361403.34,2421008.911,76.757
361403.34,2421003.911,74.655
361403.34,2420998.911,72.058
361403.34,2420993.911,69.007
361403.34,2420988.911,65.542
361403.34,2420983.911,62.168
361403.34,2420978.911,59.814
361403.34,2420973.911,58.849
361403.34,2420968.911,54.842
361403.34,2420963.911,50.964
361403.34,2420958.911,46.645
361403.34,2420953.911,45.078
361403.34,2420948.911,43.841
361403.34,2420943.911,43.521
361403.34,2420938.911,42.589
361403.34,2420933.911,42.105
361403.34,2420928.911,42.133
361403.34,2420923.911,36.165
361403.34,2420918.911,32.074
361408.34,2421288.911,41.783
361408.34,2421283.911,42.85
361408.34,2421278.911,43.279
361408.34,2421273.911,43.916
361408.34,2421268.911,46.16
361408.34,2421263.911,48.458
361408.34,2421258.911,51.329
361408.34,2421253.911,54.31
361408.34,2421248.911,56.85
361408.34,2421243.911,54.77
361408.34,2421238.911,54.321
361408.34,2421233.911,53.327
361408.34,2421228.911,53.195
361408.34,2421223.911,53.384
361408.34,2421218.911,53.533
361408.34,2421213.911,56.233
361408.34,2421208.911,57.676
361408.34,2421203.911,57.407
361408.34,2421198.911,58.003
361408.34,2421193.911,56.889
361408.34,2421188.911,56.222
361408.34,2421183.911,56.273
361408.34,2421178.911,56.472
361408.34,2421173.911,57.577
361408.34,2421168.911,59.289
361408.34,2421163.911,63.915
361408.34,2421158.911,68.258
361408.34,2421153.911,70.492
361408.34,2421148.911,72.308
361408.34,2421143.911,73.554
361408.34,2421138.911,74.799
361408.34,2421133.911,75.818
361408.34,2421128.911,76.917
361408.34,2421123.911,78.493
361408.34,2421118.911,80.092
361408.34,2421113.911,81.68
361408.34,2421108.911,82.72
361408.34,2421103.911,83.689
361408.34,2421098.911,83.778
361408.34,2421093.911,84.113
361408.34,2421088.911,84.869
361408.34,2421083.911,86.437
361408.34,2421078.911,89.741
361408.34,2421073.911,88.957
361408.34,2421068.911,88.261
361408.34,2421063.911,88.938
361408.34,2421058.911,89.679
361408.34,2421053.911,90.444
361408.34,2421048.911,90.942
361408.34,2421043.911,91.85
361408.34,2421038.911,92.585
361408.34,2421033.911,88.944
361408.34,2421028.911,86.547
361408.34,2421023.911,84.051
361408.34,2421018.911,82.014
361408.34,2421013.911,79.993
361408.34,2421008.911,77.419
361408.34,2421003.911,75.168
361408.34,2420998.911,72.047
361408.34,2420993.911,67.862
361408.34,2420988.911,64.52
361408.34,2420983.911,61.285
361408.34,2420978.911,59.691
361408.34,2420973.911,57.195
361408.34,2420968.911,54.865
361408.34,2420963.911,51.808
361408.34,2420958.911,49.271
361408.34,2420953.911,47.213
361408.34,2420948.911,45.576
361408.34,2420943.911,44.228
361408.34,2420938.911,42.776
361408.34,2420933.911,42.173
361408.34,2420928.911,42.145
361408.34,2420923.911,38.517
361408.34,2420918.911,35.265
361413.34,2421288.911,41.741
361413.34,2421283.911,42.319
361413.34,2421278.911,43.224
361413.34,2421273.911,43.564
361413.34,2421268.911,45.572
361413.34,2421263.911,48.162
361413.34,2421258.911,50.653
361413.34,2421253.911,53.624
361413.34,2421248.911,54.473
361413.34,2421243.911,54.349
361413.34,2421238.911,53.133
361413.34,2421233.911,53.015
361413.34,2421228.911,52.988
361413.34,2421223.911,52.974
361413.34,2421218.911,52.91
361413.34,2421213.911,54.183
361413.34,2421208.911,56.937
361413.34,2421203.911,57.047
361413.34,2421198.911,57.323
361413.34,2421193.911,54.608
361413.34,2421188.911,56.014
361413.34,2421183.911,55.879
361413.34,2421178.911,56.532
361413.34,2421173.911,57.337
361413.34,2421168.911,60.085
361413.34,2421163.911,63.243
361413.34,2421158.911,67.699
361413.34,2421153.911,69.697
361413.34,2421148.911,71.881
361413.34,2421143.911,73.378
361413.34,2421138.911,74.489
361413.34,2421133.911,75.609
361413.34,2421128.911,77.032
361413.34,2421123.911,78.651
361413.34,2421118.911,80.454
361413.34,2421113.911,82.214
361413.34,2421108.911,82.979
361413.34,2421103.911,84.684
361413.34,2421098.911,84.521
361413.34,2421093.911,84.652
361413.34,2421088.911,85.738
361413.34,2421083.911,87.137
361413.34,2421078.911,89.952
361413.34,2421073.911,90.075
361413.34,2421068.911,91.207
361413.34,2421063.911,91.957
361413.34,2421058.911,92.821
361413.34,2421053.911,92.593
361413.34,2421048.911,92.677
361413.34,2421043.911,92.945
361413.34,2421038.911,92.466
361413.34,2421033.911,89.819
361413.34,2421028.911,86.979
361413.34,2421023.911,84.769
361413.34,2421018.911,82.483
361413.34,2421013.911,80.29
361413.34,2421008.911,77.783
361413.34,2421003.911,74.767
361413.34,2420998.911,71.601
361413.34,2420993.911,68.099
361413.34,2420988.911,64.841
361413.34,2420983.911,60.592
361413.34,2420978.911,58.846
361413.34,2420973.911,57.501
361413.34,2420968.911,55.102
361413.34,2420963.911,51.903
361413.34,2420958.911,48.766
361413.34,2420953.911,46.867
361413.34,2420948.911,45.728
361413.34,2420943.911,44.823
361413.34,2420938.911,42.653
361413.34,2420933.911,42.088
361413.34,2420928.911,42.423
361413.34,2420923.911,39.533
361413.34,2420918.911,36.96
361418.34,2421288.911,41.564
361418.34,2421283.911,42.047
361418.34,2421278.911,43.111
361418.34,2421273.911,43.172
361418.34,2421268.911,45.097
361418.34,2421263.911,47.619
361418.34,2421258.911,50.325
361418.34,2421253.911,53.467
361418.34,2421248.911,54.073
361418.34,2421243.911,53.979
361418.34,2421238.911,53.168
361418.34,2421233.911,52.807
361418.34,2421228.911,52.665
361418.34,2421223.911,52.53
361418.34,2421218.911,52.531
361418.34,2421213.911,53.604
361418.34,2421208.911,56.028
361418.34,2421203.911,56.149
361418.34,2421198.911,57.023
361418.34,2421193.911,54.762
361418.34,2421188.911,55.702
361418.34,2421183.911,55.664
361418.34,2421178.911,56.094
361418.34,2421173.911,57.256
361418.34,2421168.911,59.402
361418.34,2421163.911,62.85
361418.34,2421158.911,66.847
361418.34,2421153.911,68.786
361418.34,2421148.911,70.582
361418.34,2421143.911,72.72
361418.34,2421138.911,74.154
361418.34,2421133.911,75.245
361418.34,2421128.911,76.871
361418.34,2421123.911,78.793
361418.34,2421118.911,80.537
361418.34,2421113.911,82.235
361418.34,2421108.911,83.597
361418.34,2421103.911,85.172
361418.34,2421098.911,85.099
361418.34,2421093.911,85.109
361418.34,2421088.911,86.17
361418.34,2421083.911,87.496
361418.34,2421078.911,88.714
361418.34,2421073.911,90.389
361418.34,2421068.911,90.777
361418.34,2421063.911,91.902
361418.34,2421058.911,92.551
361418.34,2421053.911,92.551
361418.34,2421048.911,92.71
361418.34,2421043.911,92.789
361418.34,2421038.911,91.742
361418.34,2421033.911,89.766
361418.34,2421028.911,87.452
361418.34,2421023.911,85.283
361418.34,2421018.911,82.983
361418.34,2421013.911,80.647
361418.34,2421008.911,77.437
361418.34,2421003.911,74.594
361418.34,2420998.911,71.326
361418.34,2420993.911,68.104
